time,station,tl_mittel,tl_i_mittel,tl_ii_mittel,tl_iii_mittel,substation
1775-01-01T00:00+00:00,105,-2.6,-2.9,-1.6,-2.9,5905
1775-02-01T00:00+00:00,105,2.3,1.6,3.6,2.0,5905
1775-03-01T00:00+00:00,105,4.7,3.7,7.0,4.1,5905
1775-04-01T00:00+00:00,105,6.2,5.1,7.7,6.0,5905
1775-05-01T00:00+00:00,105,10.2,9.5,12.2,9.4,5905
1775-06-01T00:00+00:00,105,16.4,16.4,18.9,15.1,5905
1775-07-01T00:00+00:00,105,16.5,15.8,18.4,15.8,5905
1775-08-01T00:00+00:00,105,17.4,16.5,20.2,16.4,5905
1775-09-01T00:00+00:00,105,13.7,12.5,16.4,13.0,5905
1775-10-01T00:00+00:00,105,8.4,7.5,10.4,7.8,5905
1775-11-01T00:00+00:00,105,3.9,3.1,5.2,3.6,5905
1775-12-01T00:00+00:00,105,-0.8,-1.4,-0.5,-0.7,5905
1776-01-01T00:00+00:00,105,-6.2,-6.4,-4.9,-6.8,5905
1776-02-01T00:00+00:00,105,0.6,0.0,2.6,-0.2,5905
1776-03-01T00:00+00:00,105,3.7,3.1,3.1,4.3,5905
1776-04-01T00:00+00:00,105,7.2,6.6,9.4,6.5,5905
1776-05-01T00:00+00:00,105,10.5,10.1,12.8,9.6,5905
1776-06-01T00:00+00:00,105,14.8,14.4,16.9,14.0,5905
1776-07-01T00:00+00:00,105,16.5,15.7,19.0,15.7,5905
1776-08-01T00:00+00:00,105,16.5,15.6,18.8,15.7,5905
1776-09-01T00:00+00:00,105,11.9,11.1,13.6,11.4,5905
1776-10-01T00:00+00:00,105,6.3,5.2,8.5,5.7,5905
1776-11-01T00:00+00:00,105,2.1,1.5,3.5,1.7,5905
1776-12-01T00:00+00:00,105,-2.1,-2.3,-1.5,-2.2,5905
1777-01-01T00:00+00:00,105,-2.8,-3.6,-2.1,-2.9,5905
1777-02-01T00:00+00:00,105,-0.9,-1.6,0.5,-1.2,5905
1777-03-01T00:00+00:00,105,4.0,3.2,5.9,3.5,5905
1777-04-01T00:00+00:00,105,,4.9,,6.0,5905
1777-05-01T00:00+00:00,105,12.6,12.0,14.9,11.8,5905
1777-06-01T00:00+00:00,105,15.0,14.9,17.5,13.8,5905
1777-07-01T00:00+00:00,105,15.6,15.0,17.5,15.0,5905
1777-08-01T00:00+00:00,105,16.7,15.6,19.3,15.9,5905
1777-09-01T00:00+00:00,105,11.8,10.8,14.1,11.2,5905
1777-10-01T00:00+00:00,105,7.4,5.8,9.6,7.0,5905
1777-11-01T00:00+00:00,105,3.8,3.5,4.9,3.5,5905
1777-12-01T00:00+00:00,105,-0.6,-1.3,0.3,-0.8,5905
1778-01-01T00:00+00:00,105,0.6,0.1,1.5,0.5,5905
1778-02-01T00:00+00:00,105,-0.7,-1.7,1.2,-1.1,5905
1778-03-01T00:00+00:00,105,4.0,2.9,5.9,3.7,5905
1778-04-01T00:00+00:00,105,10.0,8.9,12.6,9.2,5905
1778-05-01T00:00+00:00,105,12.7,12.3,15.2,11.7,5905
1778-06-01T00:00+00:00,105,14.6,14.3,17.0,13.5,5905
1778-07-01T00:00+00:00,105,17.9,17.5,20.4,16.8,5905
1778-08-01T00:00+00:00,105,17.1,16.5,19.5,16.3,5905
1778-09-01T00:00+00:00,105,12.0,10.8,14.5,11.3,5905
1778-10-01T00:00+00:00,105,7.8,7.0,9.4,7.5,5905
1778-11-01T00:00+00:00,105,4.5,3.6,5.9,4.2,5905
1778-12-01T00:00+00:00,105,3.9,3.5,4.9,3.7,5905
1779-01-01T00:00+00:00,105,-3.0,-3.6,-1.9,-3.2,5905
1779-02-01T00:00+00:00,105,3.9,2.3,5.4,3.9,5905
1779-03-01T00:00+00:00,105,6.1,4.2,8.7,5.7,5905
1779-04-01T00:00+00:00,105,11.2,9.6,14.3,10.5,5905
1779-05-01T00:00+00:00,105,14.0,13.6,16.5,12.9,5905
1779-06-01T00:00+00:00,105,14.0,13.7,16.2,13.2,5905
