Index,Date,Temperature
0,1775-01-01,-2.6
1,1775-02-01,2.3
2,1775-03-01,4.7
3,1775-04-01,6.2
4,1775-05-01,10.2
5,1775-06-01,16.4
6,1775-07-01,16.5
7,1775-08-01,17.4
8,1775-09-01,13.7
9,1775-10-01,8.4
10,1775-11-01,3.9
11,1775-12-01,-0.8
12,1776-01-01,-6.2
13,1776-02-01,0.6
14,1776-03-01,3.7
15,1776-04-01,7.2
16,1776-05-01,10.5
17,1776-06-01,14.8
18,1776-07-01,16.5
19,1776-08-01,16.5
20,1776-09-01,11.9
21,1776-10-01,6.3
22,1776-11-01,2.1
23,1776-12-01,-2.1
24,1777-01-01,-2.8
25,1777-02-01,-0.9
26,1777-03-01,4.0
27,1777-04-01,
28,1777-05-01,12.6
29,1777-06-01,15.0
30,1777-07-01,15.6
31,1777-08-01,16.7
32,1777-09-01,11.8
33,1777-10-01,7.4
34,1777-11-01,3.8
35,1777-12-01,-0.6
36,1778-01-01,0.6
37,1778-02-01,-0.7
38,1778-03-01,4.0
39,1778-04-01,10.0
40,1778-05-01,12.7
41,1778-06-01,14.6
42,1778-07-01,17.9
43,1778-08-01,17.1
44,1778-09-01,12.0
45,1778-10-01,7.8
46,1778-11-01,4.5
47,1778-12-01,3.9
48,1779-01-01,-3.0
49,1779-02-01,3.9
50,1779-03-01,6.1
51,1779-04-01,11.2
52,1779-05-01,14.0
53,1779-06-01,14.0
54,1779-07-01,15.3
55,1779-08-01,15.8
56,1779-09-01,13.4
57,1779-10-01,9.3
58,1779-11-01,4.1
59,1779-12-01,3.4
60,1780-01-01,-3.0
61,1780-02-01,-2.3
62,1780-03-01,6.1
63,1780-04-01,6.8
64,1780-05-01,12.7
65,1780-06-01,14.4
66,1780-07-01,15.9
67,1780-08-01,15.7
68,1780-09-01,11.6
69,1780-10-01,8.9
70,1780-11-01,3.8
71,1780-12-01,-1.4
72,1781-01-01,-2.1
73,1781-02-01,0.7
74,1781-03-01,4.4
75,1781-04-01,9.1
76,1781-05-01,12.9
77,1781-06-01,16.6
78,1781-07-01,16.6
79,1781-08-01,18.3
80,1781-09-01,14.3
81,1781-10-01,7.8
82,1781-11-01,5.5
83,1781-12-01,0.8
84,1782-01-01,1.5
85,1782-02-01,-2.0
86,1782-03-01,4.3
87,1782-04-01,8.1
88,1782-05-01,13.2
89,1782-06-01,16.8
90,1782-07-01,19.1
91,1782-08-01,17.0
